name,conferenceName,language,type,year,title,description,link
Сергей Больщиков,JavaScript fwdays,russian,,2017,Create Architecture and not Frameworks,,https://youtu.be/LQ__LKsVD3o
Никита Галкин,JavaScript fwdays,russian,,2017,Testing in Node.js World,,https://youtu.be/qmZyR9Ao-jY
Ashley Williams,JavaScript fwdays,english,,2017,You Don't Know npm,,https://youtu.be/l_F9xqIdkzE
Александр Трищенко,JavaScript fwdays,russian,,2017,How to improve Angular 2 performance?,,https://youtu.be/N_-g49yknyI
Александра Калинина,JavaScript fwdays,russian,,2017,Trojan War: SinonJS,,https://youtu.be/xjC1mt1owZg
Артем Яворский,JavaScript fwdays,russian,,2017,Compile like it's 2017,,https://youtu.be/y5FfZoaVJkI
Emil Bayes,JavaScript fwdays,russian,,2017,Password Hashing,,https://youtu.be/OikFj0ZhecA
Андрей Грачев,JavaScript fwdays,russian,,2017,Vue.js или как наконец отказаться от React,,https://youtu.be/x1ySbc-ocRg
Mathias Buus,JavaScript fwdays,russian,,2017,Internet of Peers,,https://youtu.be/dnoR8QlP_PI
Сергей Мелашич,JavaScript fwdays,russian,,2017,Настройка SEO для одностраничных web-приложений на Angular,,https://youtu.be/Nqw8HDXkqJ8
Виталий Редько,JavaScript fwdays,russian,,2017,React + Redux: performance & scalability,,https://youtu.be/_9BDn1QeL4U
Григорий Шехет,JavaScript fwdays,russian,,2017,Introduction in Reactive Programming with React,,https://youtu.be/oabeAEnRCcw
Артем Денисов,JavaScript fwdays,russian,,2017,Improve your web application using Progressive Web Metrics,,https://youtu.be/2a4a2aDPk5w
Александр Павлыщ,JavaScript fwdays,russian,,2017,CSS 5DX,,https://youtu.be/QxJKQNGIGec
Илья Климов,JavaScript fwdays,russian,,2017,2017: Автостопом по галактике JavaScript,,https://youtu.be/aUdiwihn3hE
Martin Splitt,JavaScript fwdays,english,,2016,Life of a pixel: Web rendering performance,,https://youtu.be/iLnL9H9F8i4
Сергей Больщиков,JavaScript fwdays,russian,,2016,"Angular Components: все уже за, а вы еще нет?",,https://youtu.be/P55wbaLtsxQ
Роман Якобчук,JavaScript fwdays,russian,,2016,Real-life React,,https://youtu.be/oEgaX2FgQgs
Алексей Волков,JavaScript fwdays,russian,,2016,Интерактивные декларативные графики на React+D3,,https://youtu.be/v9Cn97vlvAU
Алексей Распопов,JavaScript fwdays,russian,,2016,Будущее асинхронного программирования в ECMAScript,,https://youtu.be/UqyNRbrBwmk
Юрий Дадычин,JavaScript fwdays,russian,,2016,JS Frameworks в перспективе проекта и бизнеса,,https://youtu.be/K7n41jqpoJ0
